iter	RMSE
0	0.3902399367
1	0.3876695533
2	0.3852296198
3	0.38691678624	0.3887958391
5	0.3864814254
6	0.3840450671
7	0.3833511113
8	0.38094945849	0.3726382032
10	0.3702845891
11	0.3679667905
12	0.3656600794
113	0.3697942104
14	0.3676726797
15	0.3655458822
16	0.363372788
17	0.361239771
18	0.3591965441
19	0.3505050773
20	0.3487034629
21	0.3465727967
22	0.3512324735
23	0.3492458272
24	0.3471624921
25	0.3450129793
26	0.3364906661
27	0.3346072527
28	0.332699478729	29	0.3360384930	0.3264887569
31	0.3245933603
32	0.3226526529
333	0.3294590726
3434	0.3264343813535	0.3244985168
36	0.32257929637	0.3163870015
38	0.3146390761
39	0.31274940	0.40	0.31100841	0.3150772532
42	0.3132350578
43	043	0.303610244	044	0.302087345	045	0.3004651597
46	0.2988600069
47	0.2972481067
48	0.2957944577
449	0.2965450	0.3001932596
51	0.2987705303
52	0.2972851454
53	0.295761981
54	0.254	0.2867755	0.255	0.2853256	0.2910964281
57	0.2895437601
58	0.2879425587
59	0.259	0.2813960	0.260	0.2799961	0.2836052238
62	0.2822651891
63	0.263	0.2755564	0.264	0.2742865	0.2780111817
66	0.2767502358
67	0.275446801
68	0.2741189821
69	0.2727838908
70	0.70	0.2661295567
71	0.2649886358
72	0.2637353368
73	0.2625161034
74	0.2611726178
75	0.2598653586
76	0.2585315487777	0.2557995655
78	0.2546023253
779	0.256918647980	0.2522462569
81	0.251000989
82	0.2497574598
83	0.2485724515
884	0.2490274525
85	0.2478199
8686	0.2453500567
87	0.244233618
88	0.2432459762
89	0.2421446923
90	0.2411985218
91	0.2400698451
92	0.239019068593	0.2390765179
94	0.2379307512
95	0.2370464618
96	0.2360789688
97	0.2350416344
98	0.2340250446
99	0.2331065171
100	0.2320757869
101	0.2310920615
102	0.2301088411
103	0.2290627934
104	0.2281658841
105	0.2272384502
106	0.2262741253
107	0.2253538791
108	0.2243324679
109	0.2234490479
110	0.2224911939
111	0.2215836823
112	0.2206985994
113	0.2196907529
114	0.2187986385
115	0.217923818
116	0.2171447161
117	0.2162742427
118	0.21538890119	0.2152985115
120	0.2144276748
121	0.2135449997
122	0.2128054295
123	0.2120393233
124	0.2111470669
125	0.2102319065
126	0.2094848006
127	0.2087789381
128	0.2080724699
129	0.2072965328
130	0.206438741
131	0.2056715043
132	0.2048127485
133133	0.2037339767
134	0.2030723921
135	0.202276065
136	0.2015435744
137	0.2008364069
138	0.2001350194
139	0.1993788944
140	0.1987183317
141	0.1980376485
142	0.1973359698
143	0.1965897947
144	0.1959290335
145	0.1952896838
146	0.1946712364
147	0.1940347911
148	0.1934026263
149	0.1928360396
150	0.1921922349
151	0.191604669
152	0.1909666047
